budget_action,campaigns,total_spend,total_revenue,total_profit,avg_roas,avg_cpa,avg_conversion_rate
Increase Budget,3297,15752086.3,225432353.51,209680267.21,17.774819532908705,43.2264695177434,7.19921110100091
Review,3434,16732880.89,47292881.19,30560000.3,2.879103086779266,216.56330518345953,2.019928654630169
Hold,1100,2485845.76,6697663.69,4211817.93,5.302418181818181,63.98260909090909,3.5899663636363637
Reduce Budget,2169,8484848.84,4734808.08,-3750040.76,0.4269709543568465,439.08806362378976,0.8386975564776394
